A1_A2,2010,2015,2020
116,413.68,309.218,0.0
117,500.0,500.0,0.0
118,500.0,500.0,0.0
119,500.0,500.0,0.0
120,500.0,500.0,165.69
121,500.0,500.0,227.31
122,500.0,500.0,192.616
123,500.0,500.0,192.616
124,499.999,500.0,165.136
125,499.999,500.0,156.507
126,499.999,500.0,192.218
127,500.0,500.0,192.616
128,500.0,500.0,192.615
129,500.0,500.0,192.617
130,500.0,500.0,192.617
131,500.0,500.0,192.701
132,500.0,500.0,230.529
133,500.0,500.0,192.617
134,500.0,500.0,192.617
135,500.0,500.0,191.647
136,500.0,500.0,192.617
137,500.0,500.0,217.685
138,500.0,500.0,192.617
139,500.0,500.0,236.901
140,500.0,500.0,222.032
141,500.0,500.0,193.864
142,500.0,500.0,192.617
143,500.0,500.0,192.615
144,500.0,500.0,217.33
145,500.0,499.999,244.384
146,500.0,500.0,322.395
147,500.0,500.0,649.28
148,500.0,500.0,587.105
149,500.0,500.0,646.153
150,500.0,500.0,0.0
151,500.0,500.0,0.0
152,430.454,500.0,0.0
153,456.355,500.0,0.0
154,376.157,500.0,0.0
155,417.254,500.0,0.0
156,382.238,500.0,0.0
157,468.346,500.0,0.0
158,500.0,500.0,0.0
159,500.0,500.0,0.0
160,500.0,500.0,0.0
161,500.0,500.0,0.0
162,500.0,500.0,0.0
163,434.64,500.0,0.0
164,441.258,500.0,0.0
165,500.0,500.0,0.0
166,500.0,499.999,61.946
167,500.0,500.0,34.1
168,500.0,500.0,0.0
169,500.0,500.0,545.162
170,500.0,500.0,545.162
171,500.0,500.0,483.217
172,500.0,500.0,393.525
173,500.0,500.0,391.979
174,500.0,500.0,471.665
175,500.0,500.0,545.162
176,500.0,500.0,301.009
177,500.0,499.999,0.0
178,500.0,500.0,0.0
179,500.0,500.0,41.371
180,500.0,500.0,48.626
181,500.0,500.0,0.0
182,500.0,500.0,264.112
183,500.0,500.0,545.162
184,500.0,500.0,396.0
185,500.0,500.0,35.896
186,500.0,500.0,0.0
187,500.0,500.0,0.0
188,500.0,500.0,0.0
189,500.0,500.0,38.468
190,500.0,500.0,415.65
191,500.0,500.0,177.313
192,500.0,500.0,502.939
A2_B1,2010,2015,2020
1,0.0,87.102,29.216
2,0.0,125.104,72.781
3,0.0,173.965,31.947
4,0.0,107.232,1.979
5,0.0,151.464,53.074
6,0.0,67.017,0.0
7,0.0,0.0,300.0
8,0.0,113.859,300.0
9,0.0,195.385,265.964
10,0.0,117.857,172.444
11,0.0,0.0,122.694
12,0.0,0.0,142.353
13,0.0,175.389,240.231
14,0.0,240.998,300.0
15,0.0,116.57,300.0
16,0.0,113.859,300.0
17,0.0,209.279,283.676
18,0.0,163.856,203.768
19,0.0,113.859,298.287
20,0.0,300.0,300.0
21,0.0,221.893,300.0
22,0.0,205.111,300.0
23,0.0,190.619,300.0
24,0.0,140.476,260.164
25,0.0,135.07,101.93
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,261.278,98.552
29,0.0,266.311,125.736
30,0.0,16.448,0.0
31,0.0,0.0,0.0
32,0.0,152.372,111.42
33,0.0,17.821,0.0
34,0.0,26.055,73.668
35,0.0,43.936,0.0
36,0.0,37.065,0.0
37,0.0,0.0,121.463
38,0.0,0.0,0.0
39,0.0,24.301,0.0
40,0.0,115.287,0.0
41,0.0,123.673,258.705
42,0.0,156.211,300.0
43,0.0,157.463,300.0
44,0.0,188.413,300.0
45,0.0,102.274,32.912
46,0.0,190.815,124.721
47,0.0,117.494,165.972
48,0.0,122.923,179.656
49,0.0,300.0,44.542
50,0.0,300.0,0.0
51,0.0,300.0,0.0
52,0.0,300.0,101.413
53,0.0,300.0,0.0
54,0.0,0.0,107.888
55,0.0,0.0,0.0
56,0.0,0.0,0.0
57,0.0,0.0,0.0
58,0.0,0.0,0.0
59,0.0,0.0,0.0
60,0.0,0.0,0.0
61,0.0,0.0,0.0
62,0.0,0.0,0.0
63,0.0,0.0,0.0
64,0.0,61.622,0.0
65,0.0,0.0,58.16
66,0.0,93.686,64.858
67,0.0,130.911,161.562
68,0.0,0.0,0.0
69,0.0,91.943,0.0
70,0.0,106.552,199.291
71,0.0,102.341,100.596
72,0.0,44.586,183.762
73,0.0,300.0,214.062
74,0.0,300.0,300.0
75,0.0,300.0,300.0
76,0.0,300.0,300.0
77,0.0,300.0,300.0
78,0.0,300.0,300.0
79,0.0,300.0,279.094
80,0.0,300.0,11.354
