encrops,2010,2015,2020
149,117295.393,120984.832,72590.899
150,120984.832,120984.832,72590.899
151,120984.832,120984.832,72590.899
152,120984.832,120984.832,72590.899
153,120984.832,120984.832,72590.899
154,120984.832,120984.832,72590.899
155,120984.832,120984.832,72590.899
156,120984.832,120984.832,72590.899
157,120984.832,120984.832,72590.899
158,120984.832,120984.832,72590.899
159,120984.832,120984.832,72590.899
160,120984.832,120984.832,72590.899
161,120984.832,120984.832,72590.899
162,120984.832,120984.832,72590.899
163,120984.832,120984.832,72590.899
164,120984.832,120984.832,72590.899
165,120984.832,120984.832,72590.899
166,120984.832,120984.832,72590.899
167,120984.832,120984.832,72590.899
168,120984.832,120984.832,72590.899
169,48307.051,48393.961,29036.376
170,46471.32,48393.961,29036.376
171,45542.612,48393.961,29036.376
172,44366.011,48393.961,29036.376
173,44291.994,48393.961,29036.376
174,45292.584,48393.961,29036.376
175,46831.798,48393.961,29036.376
176,48393.961,48393.961,29036.376
177,48393.961,48393.961,29036.376
178,48393.961,48393.961,29036.376
179,48393.961,48393.961,29036.376
180,48393.961,48393.961,29036.376
181,48393.961,48393.961,29036.376
182,48393.961,48393.961,29036.376
183,48393.961,48393.961,29036.376
184,48393.961,48393.961,29036.376
185,48393.961,48393.961,29036.376
186,48393.961,48393.961,29036.376
187,48393.961,48393.961,29036.376
188,48393.961,48393.961,29036.376
189,48393.961,48393.961,29036.376
190,48393.961,48393.961,29036.376
191,48393.961,48393.961,29036.376
192,48393.961,48393.961,29036.376
lignite,2010,2015,2020
1,335238.149,0.0,0.0
2,261338.972,0.0,0.0
3,251541.09,0.0,0.0
4,217295.06,0.0,0.0
5,223923.002,0.0,0.0
6,321318.707,0.0,0.0
7,402436.943,68006.237,0.0
8,402436.943,197088.706,122628.5
9,402436.943,194634.619,139312.235
10,402436.943,197119.06,157946.618
11,402436.943,305942.678,166428.353
12,402436.943,266530.296,154491.5
13,402402.855,141414.07,96148.5
14,402436.943,149274.094,133434.471
15,397369.825,187919.002,133434.471
16,402436.943,204175.943,132449.323
17,402436.943,213106.413,168158.353
18,402436.943,258786.472,236948.324
19,402436.943,257590.237,201555.382
20,402436.943,172862.825,144516.088
21,402436.943,68006.237,50671.323
22,402436.943,37781.237,0.0
23,402436.943,37781.237,0.0
24,360210.855,0.0,0.0
25,89078.706,0.0,0.0
26,60578.529,0.0,0.0
27,53661.265,0.0,0.0
28,37942.353,0.0,0.0
29,34874.338,0.0,0.0
30,44127.471,0.0,0.0
31,49754.677,0.0,0.0
32,88079.03,0.0,0.0
33,93917.0,0.0,0.0
34,118887.912,0.0,0.0
35,114484.147,0.0,0.0
36,122627.323,0.0,0.0
37,113448.735,0.0,0.0
38,113914.382,0.0,0.0
39,107283.5,0.0,0.0
40,117570.235,0.0,0.0
41,135631.882,0.0,0.0
42,123815.824,0.0,0.0
43,123815.824,0.0,0.0
44,123815.824,0.0,0.0
45,131069.176,0.0,0.0
46,100810.912,0.0,0.0
47,116511.53,0.0,0.0
48,97888.53,0.0,0.0
49,67757.632,0.0,0.0
50,66739.868,0.0,0.0
51,57300.474,0.0,0.0
52,37781.237,0.0,0.0
53,59945.316,0.0,0.0
54,75265.443,0.0,0.0
55,194684.531,0.0,0.0
56,300252.56,0.0,0.0
57,275758.649,0.0,0.0
58,258881.529,0.0,0.0
59,253449.693,0.0,0.0
60,270075.709,0.0,0.0
61,242486.094,0.0,0.0
62,251609.44,0.0,0.0
63,241451.964,0.0,0.0
64,277101.207,0.0,0.0
65,282553.06,0.0,0.0
66,285092.853,0.0,0.0
67,285092.853,0.0,0.0
68,285092.853,0.0,0.0
69,285092.853,0.0,0.0
70,194684.531,0.0,0.0
71,194684.531,0.0,0.0
72,95387.991,0.0,0.0
73,14038.132,0.0,0.0
74,0.0,0.0,0.0
75,0.0,0.0,0.0
76,0.0,0.0,0.0
77,0.0,0.0,0.0
78,0.0,0.0,0.0
79,0.0,0.0,0.0
80,0.0,0.0,0.0
81,0.0,0.0,0.0
82,0.0,0.0,0.0
83,0.0,0.0,0.0
84,0.0,0.0,0.0
85,0.0,0.0,0.0
86,0.0,0.0,0.0
87,0.0,0.0,0.0
88,0.0,0.0,0.0
89,0.0,0.0,0.0
90,12318.21,0.0,0.0
91,15112.5,0.0,0.0
92,15112.5,0.0,0.0
93,24500.553,0.0,0.0
94,15112.5,0.0,0.0
95,16851.211,0.0,0.0
96,11530.842,0.0,0.0
97,43623.868,0.0,0.0
98,26324.0,0.0,0.0
99,9364.105,0.0,0.0
100,0.0,0.0,0.0
101,0.0,0.0,0.0
102,37781.237,0.0,0.0
103,60260.263,0.0,0.0
104,127288.325,0.0,0.0
105,158540.804,0.0,0.0
106,150529.04,0.0,0.0
107,174416.234,0.0,0.0
108,150903.067,0.0,0.0
109,177661.463,0.0,0.0
110,151248.146,0.0,0.0
111,158597.356,0.0,0.0
112,188338.628,0.0,0.0
113,195227.593,0.0,0.0
114,227078.972,0.0,0.0
115,194684.531,0.0,0.0
116,186040.443,0.0,0.0
117,154940.797,0.0,0.0
118,87826.772,0.0,0.0
119,80007.325,0.0,0.0
120,54558.421,0.0,0.0
121,0.0,0.0,0.0
122,0.0,0.0,0.0
123,0.0,0.0,0.0
124,0.0,0.0,0.0
125,0.0,0.0,0.0
126,0.0,0.0,0.0
127,0.0,0.0,0.0
128,0.0,0.0,0.0
129,0.0,0.0,0.0
130,0.0,0.0,0.0
131,0.0,0.0,0.0
132,0.0,0.0,0.0
133,0.0,0.0,0.0
134,0.0,0.0,0.0
135,0.0,0.0,0.0
136,0.0,0.0,0.0
137,0.0,0.0,0.0
138,0.0,0.0,0.0
139,0.0,0.0,0.0
140,0.0,0.0,0.0
141,0.0,0.0,0.0
142,0.0,0.0,0.0
143,0.0,0.0,0.0
144,0.0,0.0,0.0
145,89580.255,0.0,0.0
146,67626.289,0.0,0.0
147,68006.237,0.0,0.0
148,55317.5,0.0,0.0
149,68006.237,0.0,0.0
150,120197.384,0.0,0.0
151,305966.59,0.0,0.0
152,351765.619,37781.237,0.0
153,351765.619,68006.237,0.0
154,313932.737,68006.237,0.0
155,306380.119,29989.868,0.0
156,294992.178,11108.526,0.0
157,284317.56,18513.263,0.0
158,286691.002,23256.474,0.0
159,298602.943,0.0,0.0
160,312106.678,40385.237,0.0
161,351765.619,37622.237,0.0
162,351765.619,37781.237,0.0
163,362268.207,37781.237,0.0
164,362226.355,37781.237,0.0
165,351765.619,0.0,0.0
166,272166.766,0.0,0.0
167,260933.502,0.0,0.0
168,203243.472,0.0,0.0
169,21752.105,0.0,0.0
170,12814.21,0.0,0.0
171,647.526,0.0,0.0
172,0.0,0.0,0.0
173,0.0,0.0,0.0
174,391.053,0.0,0.0
175,15112.5,0.0,0.0
176,20420.895,0.0,0.0
177,15112.5,0.0,0.0
178,15112.5,0.0,0.0
179,15112.5,0.0,0.0
180,15112.5,0.0,0.0
181,11994.0,0.0,0.0
182,11474.79,0.0,0.0
183,15112.5,0.0,0.0
184,15112.5,0.0,0.0
185,16502.474,0.0,0.0
186,26051.132,0.0,0.0
187,32309.81,0.0,0.0
188,36836.7,0.0,0.0
189,27048.921,0.0,0.0
190,27169.842,0.0,0.0
191,26469.842,0.0,0.0
192,25725.158,0.0,0.0
gas,2010,2015,2020
1,18564.914,74841.477,198411.138
2,18564.914,39285.532,145861.229
3,18564.914,30559.077,122168.92
4,18564.914,18564.914,95813.971
5,18564.914,18564.914,108502.593
6,18564.914,74948.259,195176.775
7,18564.914,131331.605,288788.074
8,66379.077,111622.696,373052.859
9,90025.065,131331.605,403870.327
10,100858.954,128349.732,400196.962
11,99662.652,131331.605,415235.362
12,78986.355,150474.105,414120.92
13,47815.205,131180.114,403047.74
14,45807.368,131331.605,380709.222
15,75551.278,130413.387,386468.62
16,95576.454,127698.441,392890.811
17,134544.625,126355.368,394268.406
18,202159.481,150474.105,425939.378
19,175821.12,131331.605,411298.656
20,134028.97,126126.459,394162.406
21,45153.787,131331.605,357898.893
22,18564.914,126110.932,289285.919
23,18564.914,126110.932,286489.928
24,18564.914,126756.423,237420.143
25,7425.97,7425.97,44690.584
26,7425.97,7425.97,38279.155
27,7425.97,7425.97,38225.484
28,7425.97,7425.97,23136.941
29,7425.97,7425.97,23136.941
30,7425.97,7425.97,32112.213
31,7425.97,7425.97,38230.37
32,7425.97,7425.97,43900.984
33,7425.97,11178.661,62163.148
34,7425.97,23714.497,78617.359
35,7425.97,23714.497,85353.604
36,7425.97,23714.497,91411.048
37,7425.97,27380.624,72068.542
38,7425.97,25996.424,76499.455
39,7425.97,25699.824,76777.177
40,7425.97,23714.497,80320.505
41,7425.97,29979.315,79265.305
42,7425.97,44376.182,103211.91
43,7425.97,51829.963,101392.836
44,7425.97,32544.097,84543.897
45,7425.97,24832.988,79325.111
